 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Solens kærtegn har sluppet de sarte blade ud af deres skjul, og midt i det hele gemmer løfterne om kommende blomster sig.
1-1	Solens	B-noun.object	
4-19	anledning	B-noun.state	
4-20	for	O	
4-21	den	O	
4-22	beskedne	B-adj.all	
4-23	sum	B-noun.quantity	
4-24	af	O	
4-25	79	O	
4-26	kr	B-noun.quantity	
4-27	.	O	

#id=5
#text=Detteindlæg blev udgivet den tirsdag, 21. september 2010 kl. 10:14 og er gemt i Min have.Du kan følge alle svar til dette indlæg via RSS 2.0-feedet.
5-1	Dette	O	
5-2	indlæg	B-noun.communication	
5-3	blev	O	
5-4	udgivet	B-verb.communication	
5-5	den	O	
5-6	tirsdag	B-noun.time	
5-7	,	O	
5-8	21	O	
5-9	.	O	
5-10	september	B-noun.time	
5-11	2010	B-noun.time	
5-12	kl	O	
5-13	.	O	
5-14	10	O	
5-15	:	O	
5-16	14	O	
5-17	og	O	
5-18	er	O	
5-19	gemt	B-verb.stative	
5-20	i	O	
5-21	Min	B-noun.communication	
5-22	have	I-noun.communication	
5-23	.	O	
5-24	Du	O	
5-25	kan	O	
5-26	følge	B-verb.cognition	
5-27	alle	O	
5-28	svar	O	
5-29	til	O	
5-30	dette	O	
5-31	indlæg	B-noun.communication	
5-32	via	O	
5-33	RSS	O	
5-34	2	O	
5-35	.	O	
5-36	0	O	
5-37	-	O	
5-38	feedet	O	
5-39	.	O	

#id=6
#text=Det dér med hænderne i skødet er jeg jo ikke så god til .
6-1	Det	O	
6-2	dér	O	
6-3	med	O	
6-4	hænderne	B-noun.body	
6-5	i	O	
6-6	skødet	B-noun.body	
6-7	er	B-verb.stative	
6-8	jeg	O	
6-9	jo	O	
6-10	ikke	O	
6-11	så	O	
6-12	god	B-adj.all	
6-13	til	O	
6-14	.	O	

#id=7
#text=ogoven på mine skærmbriller havde jeg et par plastikbriller med et rødt og et blåt glas i.
7-1	og	O	
7-2	oven	O	
7-3	på	O	
7-4	mine	O	
7-5	skærmbriller	B-noun.artifact	
7-6	havde	B-verb.stative	
7-7	jeg	O	
7-8	et	O	
7-9	par	B-noun.quantity	
7-10	plastikbriller	B-noun.artifact	
7-11	med	O	
7-12	et	O	
7-13	rødt	B-adj.phys	
7-14	og	O	
7-15	et	O	
7-16	blåt	B-adj.phys	
7-17	glas	B-noun.artifact	
7-18	i	O	
7-19	.	O	

#id=8
#text=Jeghar en del bolde i luften nu.
8-1	Jeg	O	
8-2	har	B-verb.stative	
8-3	en	O	
8-4	del	B-noun.quantity	
8-5	bolde	B-noun.artifact	
8-6	i	O	
8-7	luften	B-noun.location	
8-8	nu	O	
8-9	.	O	

#id=9
#text=Er rigtig spændt på at se, om danskerne har protesteret kraftigt nok mod regeringens ensidige propaganda for at ændre tronfølgeloven!
9-1	Er	O	
9-2	rigtig	O	
9-3	spændt	B-adj.mental	
9-4	på	O	
9-5	at	O	
9-6	se	B-verb.cognition	
9-7	,	O	
9-8	om	O	
9-9	danskerne	B-noun.person	
9-10	har	O	
9-11	protesteret	B-verb.communication	
9-12	kraftigt	O	
9-13	nok	O	
9-14	mod	O	
9-15	regeringens	B-noun.institution	
9-16	ensidige	B-adj.all	
9-17	propaganda	B-noun.institution	
9-18	for	O	
9-19	at	O	
9-20	ændre	B-verb.change	
9-21	tronfølgeloven	B-noun.cognition	
9-22	!	O	

#id=10
#text=I hvert fald ikke særligt meget. 06.43 proklamerede den digitale tidsregistrator, da tissetrangen vækkede mig.
10-1	I	O	
10-2	hvert	O	
10-3	fald	O	
10-4	ikke	O	
10-5	særligt	O	
10-6	meget	O	
10-7	.	O	
10-8	06	O	
10-9	.	O	
10-10	43	O	
10-11	proklamerede	B-verb.communication	
10-12	den	O	
10-13	digitale	B-adj.phys	
10-14	tidsregistrator	B-noun.artifact	
10-15	,	O	
10-16	da	O	
10-17	tissetrangen	B-noun.feeling	
10-18	vækkede	B-verb.phenomenon	
10-19	mig	O	
10-20	.	O	

#id=11
#text=Pludseligvar den der, solsikken.
11-1	Pludselig	O	
11-2	var	B-verb.stative	
11-3	den	O	
11-4	der	O	
11-5	,	O	
11-6	solsikken	B-noun.plant	
11-7	.	O	

#id=12
#text=Jeg er  altså ikke færdig med den her sommer endnu.
12-1	Jeg	O	
12-2	er	B-verb.stative	
12-3	altså	O	
12-4	ikke	O	
12-5	færdig	B-adj.mental	
12-6	med	O	
12-7	den	O	
12-8	her	O	
12-9	sommer	B-noun.time	
12-10	endnu	O	
12-11	.	O	

#id=13
#text=Please!
13-1	Please	O	
13-2	!	O	

#id=14
#text=Såsådan gik det til, at vi fik tjekket, at fjorden nu er totalt isfri.
14-1	Så	O	
14-2	sådan	O	
14-3	gik	B-verb.phenomenon	
14-4	det	O	
14-5	til	B-verb.PARTICLE	
14-6	,	O	
14-7	at	O	
14-8	vi	O	
14-9	fik	O	
14-10	tjekket	B-verb.act	
14-11	,	O	
14-12	at	O	
14-13	fjorden	B-noun.location	
14-14	nu	O	
14-15	er	B-verb.stative	
14-16	totalt	O	
14-17	isfri	B-adj.phys	
14-18	.	O	

#id=15
#text=Heller ikke, at der midt i sneudsigten er løfter om forår på vej.
15-1	Heller	O	
15-2	ikke	O	
15-3	,	O	
15-4	at	O	
15-5	der	O	
15-6	midt	O	
15-7	i	O	
15-8	sneudsigten	B-noun.abstract	
15-9	er	B-verb.stative	
15-10	løfter	B-noun.communication	
15-11	om	O	
15-12	forår	B-noun.time	
15-13	på	O	
15-14	vej	O	
15-15	.	O	

#id=16
#text=Tags:spam-kommentarer
16-1	Tags	O	
16-2	:	O	
16-3	spam	B-noun.communication	
16-4	-	I-noun.communication	
16-5	kommentarer	I-noun.communication	

#id=17
#text=Jamenaltså.
17-1	Jamen	O	
17-2	altså	O	
17-3	.	O	

#id=18
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget site.
18-1	Du	O	
18-2	kan	O	
18-3	skrive	B-verb.communication	
18-4	en	O	
18-5	kommentar	B-noun.communication	
18-6	,	O	
18-7	eller	O	
18-8	sende	B-verb.communication	
18-9	et	O	
18-10	trackback	B-noun.communication	
18-11	fra	O	
18-12	dit	O	
18-13	eget	O	
18-14	site	B-noun.communication	
18-15	.	O	

#id=19
#text=Men vi har en klar holdning til, at vi helst vil undgå det.
19-1	Men	O	
19-2	vi	O	
19-3	har	B-verb.stative	
19-4	en	O	
19-5	klar	B-adj.all	
19-6	holdning	B-noun.cognition	
19-7	til	O	
19-8	,	O	
19-9	at	O	
19-10	vi	O	
19-11	helst	O	
19-12	vil	O	
19-13	undgå	B-verb.stative	
19-14	det	O	
19-15	.	O	

#id=20
#text=Det er i hvert fald lige før, jeg får en mistanke om det.
20-1	Det	O	
20-2	er	B-verb.stative	
20-3	i	O	
20-4	hvert	O	
20-5	fald	O	
20-6	lige	O	
20-7	før	O	
20-8	,	O	
20-9	jeg	O	
20-10	får	B-verb.change	
20-11	en	O	
20-12	mistanke	B-noun.feeling	
20-13	om	O	
20-14	det	O	
20-15	.	O	

#id=21
#text=Cykelturenop til kiropraktoren i morges gjorde mig godt våd og brilleudsynet så  blakket, at det var vanskeligt at navigere mellem isknoldene.
21-1	Cykelturen	B-noun.act	
21-2	op	O	
21-3	til	O	
21-4	kiropraktoren	B-noun.person	
21-5	i	O	
21-6	morges	B-noun.time	
21-7	gjorde	B-verb.act	
21-8	mig	O	
21-9	godt	O	
21-10	våd	B-adj.phys	
21-11	og	O	
21-12	brilleudsynet	B-noun.abstract	
21-13	så	O	
21-14	blakket	B-adj.phys	
21-15	,	O	
21-16	at	O	
21-17	det	O	
21-18	var	B-verb.stative	
21-19	vanskeligt	B-adj.all	
21-20	at	O	
21-21	navigere	B-verb.motion	
21-22	mellem	O	
21-23	isknoldene	B-noun.object	
21-24	.	O	

#id=22
#text=President & co. genererer!).
22-1	President	B-noun.person	
22-2	&	I-noun.person	
22-3	co	I-noun.person	
22-4	.	O	
22-5	genererer	B-verb.creation	
22-6	!	O	
22-7	)	O	
22-8	.	O	

#id=23
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget site.
23-1	Du	O	
23-2	kan	O	
23-3	skrive	B-verb.communication	
23-4	en	O	
23-5	kommentar	B-noun.communication	
23-6	,	O	
23-7	eller	O	
23-8	sende	B-verb.communication	
23-9	et	O	
23-10	trackback	B-noun.communication	
23-11	fra	O	
23-12	dit	O	
23-13	eget	O	
23-14	site	B-noun.communication	
23-15	.	O	

#id=24
#text=Godweekend, alle sammen!
24-1	God	B-adj.all	
24-2	weekend	B-noun.time	
24-3	,	O	
24-4	alle	B-noun.person	
24-5	sammen	O	
24-6	!	O	

#id=25
#text=Trodspositive tanker en masse gror bunkerne dagligt, mens hylde-, skabs- og skuffeindhold skrumper, og mit savn vokser.
25-1	Trods	O	
25-2	positive	B-adj.all	
25-3	tanker	B-noun.cognition	
25-4	en	O	
25-5	masse	O	
25-6	gror	B-verb.change	
25-7	bunkerne	B-noun.group	
25-8	dagligt	O	
25-9	,	O	
25-10	mens	O	
25-11	hylde	O	
25-12	-	O	
25-13	,	O	
25-14	skabs	O	
25-15	-	O	
25-16	og	O	
25-17	skuffeindhold	B-noun.artifact	
25-18	skrumper	B-verb.change	
25-19	,	O	
25-20	og	O	
25-21	mit	O	
25-22	savn	B-noun.feeling	
25-23	vokser	B-verb.change	
25-24	.	O	

#id=26
#text=Derligger et stykke papir på mit skrivebord.
26-1	Der	O	
26-2	ligger	B-verb.stative	
26-3	et	O	
26-4	stykke	B-noun.quantity	
26-5	papir	B-noun.artifact	
26-6	på	O	
26-7	mit	O	
26-8	skrivebord	B-noun.artifact	
26-9	.	O	

#id=27
#text=For det er dagen for det længe ventede Kunst og kage-blogtræf.
27-1	For	O	
27-2	det	O	
27-3	er	O	
27-4	dagen	B-noun.time	
27-5	for	O	
27-6	det	O	
27-7	længe	O	
27-8	ventede	B-adj.mental	
27-9	Kunst	B-noun.event	
27-10	og	I-noun.event	
27-11	kage	I-noun.event	
27-12	-	I-noun.event	
27-13	blogtræf	I-noun.event	
27-14	.	O	

#id=28
#text=Det er nemlig også ganske vist, at jeg er republikaner.
28-1	Det	O	
28-2	er	B-verb.stative	
28-3	nemlig	O	
28-4	også	O	
28-5	ganske	O	
28-6	vist	O	
28-7	,	O	
28-8	at	O	
28-9	jeg	O	
28-10	er	B-verb.stative	
28-11	republikaner	B-noun.person	
28-12	.	O	

#id=29
#text=Tags:forkølelse, tiltaget dag
29-1	Tags	O	
29-2	:	O	
29-3	forkølelse	B-noun.disease	
29-4	,	O	
29-5	tiltaget	B-adj.all	
29-6	dag	B-noun.time	

#id=30
#text=Og tænk, så var den udsolgt!
30-1	Og	O	
30-2	tænk	B-verb.cognition	
30-3	,	O	
30-4	så	O	
30-5	var	B-verb.stative	
30-6	den	O	
30-7	udsolgt	B-adj.all	
30-8	!	O	

#id=31
#text=Tags:bilisme, efteruddannelse, Hornsherred, intet kørekort, kollektiv trafik, landdistrikter, transporttid, videooptagelse
31-1	Tags	O	
31-2	:	O	
31-3	bilisme	B-noun.abstract	
31-4	,	O	
31-5	efteruddannelse	B-noun.cognition	
31-6	,	O	
31-7	Hornsherred	B-noun.location	
31-8	,	O	
31-9	intet	O	
31-10	kørekort	B-noun.abstract	
31-11	,	O	
31-12	kollektiv	B-adj.social	
31-13	trafik	B-noun.abstract	
31-14	,	O	
31-15	landdistrikter	B-noun.location	
31-16	,	O	
31-17	transporttid	B-noun.time	
31-18	,	O	
31-19	videooptagelse	B-noun.act	

#id=32
#text=Detteindlæg blev udgivet den mandag, 4. januar 2010 kl. 21:01 og er gemt i Frederikssund, Min have, Vejr.Du kan følge alle svar til dette indlæg via RSS 2.0-feedet.
32-1	Dette	O	
32-2	indlæg	B-noun.communication	
32-3	blev	O	
32-4	udgivet	B-verb.communication	
32-5	den	O	
32-6	mandag	B-noun.time	
32-7	,	O	
32-8	4	O	
32-9	.	O	
32-10	januar	B-noun.time	
32-11	2010	O	
32-12	kl	O	
32-13	.	O	
32-14	21	O	
32-15	:	O	
32-16	01	O	
32-17	og	O	
32-18	er	O	
32-19	gemt	B-verb.stative	
32-20	i	O	
32-21	Frederikssund	B-noun.communication	
32-22	,	O	
32-23	Min	B-noun.communication	
32-24	have	I-noun.communication	
32-25	,	O	
32-26	Vejr	B-noun.communication	
32-27	.	O	
32-28	Du	O	
32-29	kan	O	
32-30	følge	B-verb.cognition	
32-31	alle	O	
32-32	svar	B-noun.communication	
32-33	til	O	
32-34	dette	O	
32-35	indlæg	B-noun.communication	
32-36	via	O	
32-37	RSS	O	
32-38	2	O	
32-39	.	O	
32-40	0	O	
32-41	-	O	
32-42	feedet	O	
32-43	.	O	

#id=33
#text=Jeg var så træt, at jeg faldt omkuld i sofaen her til aften og bare kørte det hele ind.
33-1	Jeg	O	
33-2	var	B-verb.stative	
33-3	så	O	
33-4	træt	B-adj.phys	
33-5	,	O	
33-6	at	O	
33-7	jeg	O	
33-8	faldt	B-verb.motion	
33-9	omkuld	B-verb.COLL	
33-10	i	O	
33-11	sofaen	B-noun.artifact	
33-12	her	O	
33-13	til	O	
33-14	aften	B-noun.time	
33-15	og	O	
33-16	bare	O	
33-17	kørte	B-verb.consumption	
33-18	det	O	
33-19	hele	O	
33-20	ind	B-verb.PARTICLE	
33-21	.	O	

#id=34
#text=Men da husstandens dag begyndte ved halvsyv-tiden var den isnende kold og rimhvid og allerrarest at betragte over en dampende kop kaffe.
34-1	Men	O	
34-2	da	O	
34-3	husstandens	B-noun.person	
34-4	dag	B-noun.time	
34-5	begyndte	B-verb.aspectual	
34-6	ved	O	
34-7	halvsyv	B-noun.time	
34-8	-	I-noun.time	
34-9	tiden	I-noun.time	
34-10	var	O	
34-11	den	O	
34-12	isnende	B-adj.phys	
34-13	kold	B-adj.phys	
34-14	og	O	
34-15	rimhvid	B-adj.phys	
34-16	og	O	
34-17	allerrarest	O	
34-18	at	O	
34-19	betragte	B-verb.perception	
34-20	over	O	
34-21	en	O	
34-22	dampende	B-adj.phys	
34-23	kop	B-noun.container	
34-24	kaffe	B-noun.food	
34-25	.	O	

#id=35
#text=Men i dag gør den altså lidt (meget) mere opmærksom på sig selv end normalt.
35-1	Men	O	
35-2	i	O	
35-3	dag	B-noun.time	
35-4	gør	B-verb.act	
35-5	den	O	
35-6	altså	O	
35-7	lidt	O	
35-8	(	O	
35-9	meget	O	
35-10	)	O	
35-11	mere	O	
35-12	opmærksom	B-verb.COLL	
35-13	på	O	
35-14	sig	O	
35-15	selv	O	
35-16	end	O	
35-17	normalt	O	
35-18	.	O	

#id=36
#text=Tags:foto, lavendel, sne, sygdom
36-1	Tags	O	
36-2	:	O	
36-3	foto	B-noun.artifact	
36-4	,	O	
36-5	lavendel	B-noun.plant	
36-6	,	O	
36-7	sne	B-noun.phenomenon	
36-8	,	O	
36-9	sygdom	B-noun.disease	

#id=37
#text=Du kan skrive  en kommentar, eller sende et trackback fra dit eget site.
37-1	Du	O	
37-2	kan	O	
37-3	skrive	B-verb.communication	
37-4	en	O	
37-5	kommentar	B-noun.communication	
37-6	,	O	
37-7	eller	O	
37-8	sende	B-verb.communication	
37-9	et	O	
37-10	trackback	B-noun.communication	
37-11	fra	O	
37-12	dit	O	
37-13	eget	O	
37-14	site	B-noun.communication	
37-15	.	O	

#id=38
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget site.
38-1	Du	O	
38-2	kan	O	
38-3	skrive	B-verb.communication	
38-4	en	O	
38-5	kommentar	B-noun.communication	
38-6	,	O	
38-7	eller	O	
38-8	sende	B-verb.communication	
38-9	et	O	
38-10	trackback	B-noun.communication	
38-11	fra	O	
38-12	dit	O	
38-13	eget	O	
38-14	site	B-noun.communication	
38-15	.	O	

#id=39
#text=Tags:afslapning, foto, Laban, vinterferie
39-1	Tags	O	
39-2	:	O	
39-3	afslapning	B-noun.act	
39-4	,	O	
39-5	foto	B-noun.artifact	
39-6	,	O	
39-7	Laban	B-noun.person	
39-8	,	O	
39-9	vinterferie	B-noun.time	

#id=40
#text=Meresne .
40-1	Mere	O	
40-2	sne	B-noun.phenomenon	
40-3	.	O	

#id=41
#text=Detvar vist heller ikke denne  her uge, jeg kom til at overrende blogland, hverken her eller der.
41-1	Det	O	
41-2	var	B-verb.stative	
41-3	vist	O	
41-4	heller	O	
41-5	ikke	O	
41-6	denne	O	
41-7	her	O	
41-8	uge	B-noun.time	
41-9	,	O	
41-10	jeg	O	
41-11	kom	B-verb.act	
41-12	til	B-verb.PARTICLE	
41-13	at	O	
41-14	overrende	B-verb.act	
41-15	blogland	B-noun.communication	
41-16	,	O	
41-17	hverken	O	
41-18	her	O	
41-19	eller	O	
41-20	der	O	
41-21	.	O	

#id=42
#text=Tags:afrimning af fryser, elforbrug, hummus, Mad, madspild, restemad
42-1	Tags	O	
42-2	:	O	
42-3	afrimning	B-noun.act	
42-4	af	O	
42-5	fryser	B-noun.container	
42-6	,	O	
42-7	elforbrug	B-noun.act	
42-8	,	O	
42-9	hummus	B-noun.food	
42-10	,	O	
42-11	Mad	B-noun.food	
42-12	,	O	
42-13	madspild	B-noun.abstract	
42-14	,	O	
42-15	restemad	B-noun.food	

#id=43
#text=P.S.
43-1	P	O	
43-2	.	O	
43-3	S	O	
43-4	.	O	

#id=44
#text=Det her går ikke!
44-1	Det	O	
44-2	her	O	
44-3	går	B-verb.stative	
44-4	ikke	O	
44-5	!	O	

#id=45
#text=Jeghavde simpelthen brug for luft.
45-1	Jeg	O	
45-2	havde	B-verb.cognition	
45-3	simpelthen	O	
45-4	brug	B-verb.COLL	
45-5	for	B-verb.COLL	
45-6	luft	B-noun.phenomenon	
45-7	.	O	

#id=46
#text=At lyset vender tilbage.
46-1	At	O	
46-2	lyset	B-noun.phenomenon	
46-3	vender	B-verb.motion	
46-4	tilbage	B-verb.COLL	
46-5	.	O	

#id=47
#text=Så må du hellere få noget andet kønt at kigge på.
47-1	Så	O	
47-2	må	O	
47-3	du	O	
47-4	hellere	O	
47-5	få	B-verb.possession	
47-6	noget	O	
47-7	andet	O	
47-8	kønt	B-adj.phys	
47-9	at	O	
47-10	kigge	B-verb.perception	
47-11	på	O	
47-12	.	O	

#id=48
#text=Jeg har tåget rundt i dag (og i går, hvor vi arriverede på matriklen kl. 9.50 uden at have sovet siden afgang), som havde jeg været til den vildeste, nattesøvnsrøvende fest.
48-1	Jeg	O	
48-2	har	O	
48-3	tåget	B-verb.motion	
48-4	rundt	O	
48-5	i	O	
48-6	dag	B-noun.time	
48-7	(	O	
48-8	og	O	
48-9	i	O	
48-10	går	B-noun.time	
48-11	,	O	
48-12	hvor	O	
48-13	vi	O	
48-14	arriverede	B-verb.motion	
48-15	på	O	
48-16	matriklen	B-noun.building	
48-17	kl	O	
48-18	.	O	
48-19	9	O	
48-20	.	O	
48-21	50	O	
48-22	uden	O	
48-23	at	O	
48-24	have	O	
48-25	sovet	B-verb.act	
48-26	siden	O	
48-27	afgang	B-noun.act	
48-28	)	O	
48-29	,	O	
48-30	som	O	
48-31	havde	O	
48-32	jeg	O	
48-33	været	B-verb.social	
48-34	til	O	
48-35	den	O	
48-36	vildeste	B-adj.all	
48-37	,	O	
48-38	nattesøvnsrøvende	B-adj.all	
48-39	fest	B-noun.event	
48-40	.	O	

#id=49
#text=Især når han bagefter fragter en hjem til provinsen .
49-1	Især	O	
49-2	når	O	
49-3	han	O	
49-4	bagefter	O	
49-5	fragter	B-verb.motion	
49-6	en	O	
49-7	hjem	O	
49-8	til	O	
49-9	provinsen	B-noun.location	
49-10	.	O	

#id=50
#text=Og hvor var det bare skønt.
50-1	Og	O	
50-2	hvor	O	
50-3	var	B-verb.stative	
50-4	det	O	
50-5	bare	O	
50-6	skønt	B-adj.all	
50-7	.	O	

#id=51
#text=Det er helt okay med mig .
51-1	Det	O	
51-2	er	B-verb.stative	
51-3	helt	O	
51-4	okay	B-adj.all	
51-5	med	O	
51-6	mig	O	
51-7	.	O	

#id=52
#text=Tags:2010, indkøb, lørdag, nyt år, rengøring, vasketøj
52-1	Tags	O	
52-2	:	O	
52-3	2010	B-noun.time	
52-4	,	O	
52-5	indkøb	B-noun.possession	
52-6	,	O	
52-7	lørdag	B-noun.time	
52-8	,	O	
52-9	nyt	B-adj.time	
52-10	år	B-noun.time	
52-11	,	O	
52-12	rengøring	B-noun.act	
52-13	,	O	
52-14	vasketøj	B-noun.artifact	

#id=53
#text=Jeg smutter til Skanderborg om et øjeblik og overlader huset til dets øvrige beboere.
53-1	Jeg	O	
53-2	smutter	B-verb.motion	
53-3	til	O	
53-4	Skanderborg	B-noun.location	
53-5	om	O	
53-6	et	O	
53-7	øjeblik	B-noun.time	
53-8	og	O	
53-9	overlader	B-verb.possession	
53-10	huset	B-noun.building	
53-11	til	O	
53-12	dets	O	
53-13	øvrige	B-adj.all	
53-14	beboere	B-noun.person	
53-15	.	O	

#id=54
#text=Dagen er tiltaget med 49 minutter .
54-1	Dagen	B-noun.time	
54-2	er	O	
54-3	tiltaget	B-verb.change	
54-4	med	O	
54-5	49	O	
54-6	minutter	B-noun.time	
54-7	.	O	

#id=55
#text=Opvarmedekrydsede vi tilbage gennem Københavns centrum for at høre Lil Lazy & Ulla Pihl Duo på Trinitatis Kirkeplads.
55-1	Opvarmede	B-adj.phys	
55-2	krydsede	B-verb.motion	
55-3	vi	O	
55-4	tilbage	O	
55-5	gennem	O	
55-6	Københavns	B-noun.location	
55-7	centrum	B-noun.relation	
55-8	for	O	
55-9	at	O	
55-10	høre	B-verb.perception	
55-11	Lil	B-noun.person	
55-12	Lazy	I-noun.person	
55-13	&	O	
55-14	Ulla	B-noun.person	
55-15	Pihl	I-noun.person	
55-16	Duo	O	
55-17	på	O	
55-18	Trinitatis	B-noun.location	
55-19	Kirkeplads	I-noun.location	
55-20	.	O	

#id=56
#text=Fordet regner, gør det!
56-1	For	O	
56-2	det	O	
56-3	regner	B-verb.phenomenon	
56-4	,	O	
56-5	gør	B-verb.act	
56-6	det	O	
56-7	!	O	

#id=57
#text=Og egentlig ganske kønt.
57-1	Og	O	
57-2	egentlig	O	
57-3	ganske	O	
57-4	kønt	B-adj.phys	
57-5	.	O	

#id=58
#text=Ogtænk, i dag  lykkedes det næsten lige indtil jeg kastede et blik ud af vinduet for et øjeblik siden og så tusmørket gumle den lyse himmel i sig
58-1	Og	O	
58-2	tænk	B-verb.cognition	
58-3	,	O	
58-4	i	O	
58-5	dag	B-noun.time	
58-6	lykkedes	B-verb.phenomenon	
58-7	det	O	
58-8	næsten	B-verb.perception	
58-9	lige	O	
58-10	indtil	O	
58-11	jeg	O	
58-12	kastede	B-verb.perception	
58-13	et	O	
58-14	blik	B-verb.COLL	
58-15	ud	O	
58-16	af	O	
58-17	vinduet	B-noun.artifact	
58-18	for	O	
58-19	et	O	
58-20	øjeblik	B-noun.time	
58-21	siden	O	
58-22	og	O	
58-23	så	B-verb.perception	
58-24	tusmørket	B-noun.phenomenon	
58-25	gumle	B-verb.act	
58-26	den	O	
58-27	lyse	B-adj.phys	
58-28	himmel	B-noun.abstract	
58-29	i	O	
58-30	sig	O	

#id=59
#text=Tags:forkølelse, foto, Italien, lægevagt, Rom, studietur, øjenbetændelse
59-1	Tags	O	
59-2	:	O	
59-3	forkølelse	B-noun.disease	
59-4	,	O	
59-5	foto	B-noun.artifact	
59-6	,	O	
59-7	Italien	B-noun.location	
59-8	,	O	
59-9	lægevagt	B-noun.person	
59-10	,	O	
59-11	Rom	B-noun.location	
59-12	,	O	
59-13	studietur	B-noun.act	
59-14	,	O	
59-15	øjenbetændelse	B-noun.disease	

#id=60
#text=Sådanen mor-datter-tur er nu ikke så ringe endda.
60-1	Sådan	O	
60-2	en	O	
60-3	mor	B-noun.act	
60-4	-	I-noun.act	
60-5	datter	I-noun.act	
60-6	-	I-noun.act	
60-7	tur	I-noun.act	
60-8	er	O	
60-9	nu	O	
60-10	ikke	O	
60-11	så	O	
60-12	ringe	B-adj.all	
60-13	endda	O	
60-14	.	O	

#id=61
#text=Detteindlæg blev udgivet den søndag, 18. oktober 2009 kl. 06:01 og er gemt i Ferie, Rejser, Teenageren.Du kan følge alle svar til dette indlæg via RSS 2.0-feedet.
61-1	Dette	O	
61-2	indlæg	B-noun.communication	
61-3	blev	O	
61-4	udgivet	B-verb.communication	
61-5	den	O	
61-6	søndag	B-noun.time	
61-7	,	O	
61-8	18	O	
61-9	.	O	
61-10	oktober	B-noun.time	
61-11	2009	B-noun.time	
61-12	kl	O	
61-13	.	O	
61-14	06	O	
61-15	:	O	
61-16	01	O	
61-17	og	O	
61-18	er	O	
