 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Forlag:
1-1	Forlag	B-noun.institution	
4-21	det	O	
4-22	selv	O	
4-23	?	O	

#id=5
#text=Hvis du er vild med X OVA'en så burde du se hele serien... :wink:
5-1	Hvis	O	
5-2	du	O	
5-3	er	B-verb.stative	
5-4	vild	B-adj.mental	
5-5	med	O	
5-6	X	B-noun.TOP	
5-7	OVA	I-noun.TOP	
5-8	'	O	
5-9	en	O	
5-10	så	O	
5-11	burde	B-verb.emotion	
5-12	du	O	
5-13	se	B-verb.perception	
5-14	hele	B-adj.all	
5-15	serien	B-noun.communication	
5-16	.	O	
5-17	.	O	
5-18	.	O	
5-19	:	O	
5-20	wink	O	
5-21	:	O	

#id=6
#text=Lablue Girl (Hentai/The Real Thing :shock:
6-1	Lablue	B-noun.person	
6-2	Girl	I-noun.person	
6-3	(	O	
6-4	Hentai	B-noun.domain	
6-5	/	O	
6-6	The	O	
6-7	Real	O	
6-8	Thing	O	
6-9	:	O	
6-10	shock	O	
6-11	:	O	

#id=7
#text=Lige en ting.
7-1	Lige	O	
7-2	en	O	
7-3	ting	B-noun.abstract	
7-4	.	O	

#id=8
#text=Keep it up!
8-1	Keep	B-verb.stative	
8-2	it	O	
8-3	up	B-verb.PARTICLE	
8-4	!	O	

#id=9
#text=Tsubasa -RESERVoir CHRoNiCLE-:
9-1	Tsubasa	O	
9-2	-	O	
9-3	RESERVoir	O	
9-4	CHRoNiCLE	O	
9-5	-	O	
9-6	:	O	

#id=10
#text=takguys, men problemet er.... jeg er lidt flad for tiden :( har ikke rigtigt kunne tjene nogle på her for tiden... :( Det var bare hvis i kunne sige noget fra de ordbøger :roll: (Lage lidt mærke til at du blev træt ved de sidste ord :?) (Baka, hehe blev også måske sur :roll:
10-1	tak	O	
10-2	guys	B-noun.person	
10-3	,	O	
10-4	men	O	
10-5	problemet	B-noun.cognition	
10-6	er	B-verb.stative	
10-7	.	O	
10-8	.	O	
10-9	.	O	
10-10	.	O	
10-11	jeg	O	
10-12	er	B-verb.stative	
10-13	lidt	O	
10-14	flad	B-adj.social	
10-15	for	O	
10-16	tiden	B-noun.time	
10-17	:	O	
10-18	(	O	
10-19	har	O	
10-20	ikke	O	
10-21	rigtigt	O	
10-22	kunne	B-verb.emotion	
10-23	tjene	B-verb.possession	
10-24	nogle	O	
10-25	på	O	
10-26	her	O	
10-27	for	O	
10-28	tiden	B-noun.time	
10-29	.	O	
10-30	.	O	
10-31	.	O	
10-32	:	O	
10-33	(	O	
10-34	Det	O	
10-35	var	B-verb.stative	
10-36	bare	O	
10-37	hvis	O	
10-38	i	O	
10-39	kunne	B-verb.emotion	
10-40	sige	B-verb.communication	
10-41	noget	O	
10-42	fra	O	
10-43	de	O	
10-44	ordbøger	B-noun.communication	
10-45	:	O	
10-46	roll	O	
10-47	:	O	
10-48	(	O	
10-49	Lage	B-verb.cognition	
10-50	lidt	O	
10-51	mærke	B-verb.COLL	
10-52	til	I-verb.COLL	
10-53	at	O	
10-54	du	O	
10-55	blev	B-verb.stative	
10-56	træt	B-adj.phys	
10-57	ved	O	
10-58	de	O	
10-59	sidste	B-adj.time	
10-60	ord	B-noun.communication	
10-61	:	O	
10-62	?	O	
10-63	)	O	
10-64	(	O	
10-65	Baka	O	
10-66	,	O	
10-67	hehe	O	
10-68	blev	B-verb.stative	
10-69	også	O	
10-70	måske	O	
10-71	sur	B-adj.mental	
10-72	:	O	
10-73	roll	O	
10-74	:	O	

#id=11
#text=Dener jeg også med på!
11-1	Den	O	
11-2	er	B-verb.stative	
11-3	jeg	O	
11-4	også	O	
11-5	med	B-verb.COLL	
11-6	på	I-verb.COLL	
11-7	!	O	

#id=12
#text=Jeg har den politik, at jeg sletter alt efter at  have set det.
12-1	Jeg	O	
12-2	har	B-verb.possession	
12-3	den	O	
12-4	politik	B-noun.cognition	
12-5	,	O	
12-6	at	O	
12-7	jeg	O	
12-8	sletter	B-verb.change	
12-9	alt	O	
12-10	efter	O	
12-11	at	O	
12-12	have	O	
12-13	set	B-verb.perception	
12-14	det	O	
12-15	.	O	

#id=13
#text=Det var faktisk her jeg først stiftede bekendtskab med mange kendte animes, blandt andet Conan, Dragon Ball, Sailor Moon og Ranma 1/2...
13-1	Det	O	
13-2	var	B-verb.stative	
13-3	faktisk	O	
13-4	her	O	
13-5	jeg	O	
13-6	først	O	
13-7	stiftede	B-verb.social	
13-8	bekendtskab	B-noun.relation	
13-9	med	O	
13-10	mange	B-adj.all	
13-11	kendte	B-adj.social	
13-12	animes	B-noun.person	
13-13	,	O	
13-14	blandt	O	
13-15	andet	O	
13-16	Conan	B-noun.person	
13-17	,	O	
13-18	Dragon	B-noun.person	
13-19	Ball	I-noun.person	
13-20	,	O	
13-21	Sailor	B-noun.person	
13-22	Moon	I-noun.person	
13-23	og	O	
13-24	Ranma	B-noun.person	
13-25	1	I-noun.person	
13-26	/	I-noun.person	
13-27	2	I-noun.person	
13-28	.	O	
13-29	.	O	
13-30	.	O	

#id=14
#text=Hvis at bygge videre på handlingen fra serien ikke er at "hænge sammen" med den, hvad er så?
14-1	Hvis	O	
14-2	at	O	
14-3	bygge	B-verb.creation	
14-4	videre	O	
14-5	på	O	
14-6	handlingen	B-noun.event	
14-7	fra	O	
14-8	serien	B-noun.communication	
14-9	ikke	O	
14-10	er	B-verb.stative	
14-11	at	O	
14-12	"	O	
14-13	hænge	B-verb.stative	
14-14	sammen	O	
14-15	"	O	
14-16	med	O	
14-17	den	O	
14-18	,	O	
14-19	hvad	O	
14-20	er	B-verb.stative	
14-21	så	O	
14-22	?	O	

#id=15
#text=En anden ting... du (Flying Tokyo) skriver, at du vil give den 6 stjerner, hvorfor har du så stemt på 5?
15-1	En	O	
15-2	anden	O	
15-3	ting	B-noun.abstract	
15-4	.	O	
15-5	.	O	
15-6	.	O	
15-7	du	O	
15-8	(	O	
15-9	Flying	B-noun.person	
15-10	Tokyo	I-noun.person	
15-11	)	O	
15-12	skriver	B-verb.communication	
15-13	,	O	
15-14	at	O	
15-15	du	O	
15-16	vil	O	
15-17	give	B-verb.possession	
15-18	den	O	
15-19	6	O	
15-20	stjerner	B-noun.artifact	
15-21	,	O	
15-22	hvorfor	O	
15-23	har	O	
15-24	du	O	
15-25	så	O	
15-26	stemt	B-verb.possession	
15-27	på	O	
15-28	5	O	
15-29	?	O	

#id=16
#text=Hvorskaffer vi en ordbog??
16-1	Hvor	O	
16-2	skaffer	B-verb.possession	
16-3	vi	O	
16-4	en	O	
16-5	ordbog	B-noun.communication	
16-6	?	O	
16-7	?	O	

#id=17
#text=HÅBER FOR JER MANGA OG ANIME FANS AT I HAR DE KANALER HVOR MAN KAN SE DE ANIME!!!
17-1	HÅBER	B-verb.emotion	
17-2	FOR	O	
17-3	JER	O	
17-4	MANGA	B-noun.domain	
17-5	OG	O	
17-6	ANIME	B-noun.domain	
17-7	FANS	B-noun.person	
17-8	AT	O	
17-9	I	O	
17-10	HAR	B-noun.possession	
17-11	DE	O	
17-12	KANALER	B-noun.communication	
17-13	HVOR	O	
17-14	MAN	O	
17-15	KAN	B-verb.emotion	
17-16	SE	B-verb.perception	
17-17	DE	O	
17-18	ANIME	B-noun.domain	
17-19	!	O	
17-20	!	O	
17-21	!	O	

#id=18
#text=Omkring 65 kort tror jeg.
18-1	Omkring	O	
18-2	65	O	
18-3	kort	B-noun.artifact	
18-4	tror	B-verb.cognition	
18-5	jeg	O	
18-6	.	O	

#id=19
#text=Jeg købte et helt booster display (24 booster pakker)
19-1	Jeg	O	
19-2	købte	B-verb.possession	
19-3	et	O	
19-4	helt	O	
19-5	booster	B-noun.artifact	
19-6	display	I-noun.artifact	
19-7	(	O	
19-8	24	O	
19-9	booster	B-noun.artifact	
19-10	pakker	I-noun.artifact	
19-11	)	O	

#id=20
#text=Jeg synes det er meget rammende, hvad du siger der.
20-1	Jeg	O	
20-2	synes	B-verb.cognition	
20-3	det	O	
20-4	er	B-verb.stative	
20-5	meget	O	
20-6	rammende	B-adj.all	
20-7	,	O	
20-8	hvad	O	
20-9	du	O	
20-10	siger	B-verb.communication	
20-11	der	O	
20-12	.	O	

#id=21
#text=Og andre er fra japansk forum.
21-1	Og	O	
21-2	andre	O	
21-3	er	B-verb.stative	
21-4	fra	O	
21-5	japansk	B-adj.social	
21-6	forum	B-noun.location	
21-7	.	O	

#id=22
#text=Er selv rimelig irriteret over ikke at kunne komme derind, men hvis I bare lægger nogle billeder ind går det nok alligevel.
22-1	Er	B-verb.stative	
22-2	selv	O	
22-3	rimelig	O	
22-4	irriteret	B-verb.emotion	
22-5	over	O	
22-6	ikke	O	
22-7	at	O	
22-8	kunne	B-verb.emotion	
22-9	komme	B-verb.motion	
22-10	derind	O	
22-11	,	O	
22-12	men	O	
22-13	hvis	O	
22-14	I	O	
22-15	bare	O	
22-16	lægger	B-verb.act	
22-17	nogle	O	
22-18	billeder	B-noun.artifact	
22-19	ind	B-verb.PARTICLE	
22-20	går	B-verb.stative	
22-21	det	O	
22-22	nok	O	
22-23	alligevel	O	
22-24	.	O	

#id=23
#text=Hvis man gerne ville have flere Samurai Deeper Kyo bøger udover de to første, skal man så selv bestille dem eller vil der blive arrangeret noget igen?
23-1	Hvis	O	
23-2	man	O	
23-3	gerne	O	
23-4	ville	B-verb.emotion	
23-5	have	B-verb.possession	
23-6	flere	O	
23-7	Samurai	B-noun.communication	
23-8	Deeper	I-noun.communication	
23-9	Kyo	I-noun.communication	
23-10	bøger	B-noun.communication	
23-11	udover	O	
23-12	de	O	
23-13	to	O	
23-14	første	B-adj.time	
23-15	,	O	
23-16	skal	B-verb.emotion	
23-17	man	O	
23-18	så	O	
23-19	selv	O	
23-20	bestille	B-verb.possession	
23-21	dem	O	
23-22	eller	O	
23-23	vil	O	
23-24	der	O	
23-25	blive	O	
23-26	arrangeret	B-verb.act	
23-27	noget	O	
23-28	igen	O	
23-29	?	O	

#id=24
#text=Det var da godt... :D
24-1	Det	O	
24-2	var	B-verb.stative	
24-3	da	O	
24-4	godt	B-adj.all	
24-5	.	O	
24-6	.	O	
24-7	.	O	
24-8	:	O	
24-9	D	O	

#id=25
#text=Men så vidt som jeg ved har Berserk Religions kode 1 (Eller hvad nu det hedder :cry:) og så ville jeg lige høre jer om jeg kan køre det på min PS2 eller om jeg kan på mit DVD-Drev i PC'en ? ( Vores TV væltede ned over vores DVD sååå..
25-1	Men	O	
25-2	så	O	
25-3	vidt	O	
25-4	som	O	
25-5	jeg	O	
25-6	ved	B-verb.cognition	
25-7	har	O	
25-8	Berserk	B-noun.communication	
25-9	Religions	B-noun.domain	
25-10	kode	B-noun.artifact	
25-11	1	O	
25-12	(	O	
25-13	Eller	O	
25-14	hvad	O	
25-15	nu	O	
25-16	det	O	
25-17	hedder	B-verb.stative	
25-18	:	O	
25-19	cry	O	
25-20	:	O	
25-21	)	O	
25-22	og	O	
25-23	så	O	
25-24	ville	B-verb.emotion	
25-25	jeg	O	
25-26	lige	O	
25-27	høre	B-verb.communication	
25-28	jer	O	
25-29	om	O	
25-30	jeg	O	
25-31	kan	B-verb.emotion	
25-32	køre	B-noun.act	
25-33	det	O	
25-34	på	O	
25-35	min	O	
25-36	PS2	B-noun.artifact	
25-37	eller	O	
25-38	om	O	
25-39	jeg	O	
25-40	kan	B-verb.emotion	
25-41	på	O	
25-42	mit	O	
25-43	DVD	B-noun.artifact	
25-44	-	I-noun.artifact	
25-45	Drev	I-noun.artifact	
25-46	i	O	
25-47	PC	B-noun.artifact	
25-48	'	I-noun.artifact	
25-49	en	O	
25-50	?	O	
25-51	(	O	
25-52	Vores	O	
25-53	TV	B-noun.artifact	
25-54	væltede	B-verb.motion	
25-55	ned	B-verb.PARTICLE	
25-56	over	O	
25-57	vores	O	
25-58	DVD	B-noun.artifact	
25-59	sååå	O	
25-60	.	O	
25-61	.	O	

#id=26
#text=Detvar faktisk den første Anime jeg nogen sinde så, og også stadig en af mine ynglings.. den er genial.. elsker den :) hvis nogen ved hvor man kan købe den gider i så ikke smide et link ? på forhånd tak :)
26-1	Det	O	
26-2	var	B-verb.stative	
26-3	faktisk	O	
26-4	den	O	
26-5	første	B-adj.time	
26-6	Anime	B-noun.communication	
26-7	jeg	O	
26-8	nogen	O	
26-9	sinde	O	
26-10	så	B-verb.perception	
26-11	,	O	
26-12	og	O	
26-13	også	O	
26-14	stadig	O	
26-15	en	O	
26-16	af	O	
26-17	mine	O	
26-18	ynglings	B-adj.all	
26-19	.	O	
26-20	.	O	
26-21	den	O	
26-22	er	B-verb.stative	
26-23	genial	B-adj.all	
26-24	.	O	
26-25	.	O	
26-26	elsker	B-verb.social	
26-27	den	O	
26-28	:	O	
26-29	)	O	
26-30	hvis	O	
26-31	nogen	O	
26-32	ved	B-verb.cognition	
26-33	hvor	O	
26-34	man	O	
26-35	kan	O	
26-36	købe	B-verb.possession	
26-37	den	O	
26-38	gider	B-verb.emotion	
26-39	i	O	
26-40	så	O	
26-41	ikke	O	
26-42	smide	B-verb.communication	
26-43	et	O	
26-44	link	B-noun.communication	
26-45	?	O	
26-46	på	O	
26-47	forhånd	B-noun.time	
26-48	tak	O	
26-49	:	O	
26-50	)	O	

#id=27
#text=Detvirker heller ikke for mig...
27-1	Det	O	
27-2	virker	B-verb.stative	
27-3	heller	O	
27-4	ikke	O	
27-5	for	O	
27-6	mig	O	
27-7	.	O	
27-8	.	O	
27-9	.	O	

#id=28
#text=Vednogen... hvilke kort Tea / Anzu har ?
28-1	Ved	B-verb.cognition	
28-2	nogen	O	
28-3	.	O	
28-4	.	O	
28-5	.	O	
28-6	hvilke	O	
28-7	kort	B-noun.artifact	
28-8	Tea	B-noun.person	
28-9	/	O	
28-10	Anzu	B-noun.person	
28-11	har	B-verb.stative	
28-12	?	O	

#id=29
#text=Mangaer godt - meget manga er meget godt!
29-1	Manga	B-noun.domain	
29-2	er	O	
29-3	godt	B-adj.all	
29-4	-	O	
29-5	meget	O	
29-6	manga	B-noun.domain	
29-7	er	O	
29-8	meget	O	
29-9	godt	B-adj.all	
29-10	!	O	

#id=30
#text=OgOne Piece (Carlsen)
30-1	Og	O	
30-2	One	B-noun.communication	
30-3	Piece	I-noun.communication	
30-4	(	O	
30-5	Carlsen	B-noun.institution	
30-6	)	O	

#id=31
#text=For at finde udtalen, skal du bare se en masse anime :P
31-1	For	O	
31-2	at	O	
31-3	finde	B-verb.cognition	
31-4	udtalen	B-noun.attribute	
31-5	,	O	
31-6	skal	O	
31-7	du	O	
31-8	bare	O	
31-9	se	B-verb.perception	
31-10	en	O	
31-11	masse	O	
31-12	anime	B-noun.communication	
31-13	:	O	
31-14	P	O	

#id=32
#text=Jegtror  det er den host du linker til, som ikke accepterer "deep-links", så du kan ikke bruge den som image-server.
32-1	Jeg	O	
32-2	tror	B-verb.cognition	
32-3	det	O	
32-4	er	B-verb.stative	
32-5	den	O	
32-6	host	B-noun.person	
32-7	du	O	
32-8	linker	B-verb.act	
32-9	til	O	
32-10	,	O	
32-11	som	O	
32-12	ikke	O	
32-13	accepterer	B-verb.cognition	
32-14	"	O	
32-15	deep	B-noun.communication	
32-16	-	I-noun.communication	
32-17	links	I-noun.communication	
32-18	"	O	
32-19	,	O	
32-20	så	O	
32-21	du	O	
32-22	kan	O	
32-23	ikke	O	
32-24	bruge	B-verb.act	
32-25	den	O	
32-26	som	O	
32-27	image	B-noun.artifact	
32-28	-	I-noun.artifact	
32-29	server	I-noun.artifact	
32-30	.	O	

#id=33
#text=Har du ikke fået det kort med et spil....
33-1	Har	O	
33-2	du	O	
33-3	ikke	O	
33-4	fået	B-verb.possession	
33-5	det	O	
33-6	kort	B-noun.artifact	
33-7	med	O	
33-8	et	O	
33-9	spil	B-noun.artifact	
33-10	.	O	
33-11	.	O	
33-12	.	O	
33-13	.	O	

#id=34
#text=Su..hun er sku da for nice! specielt når hun forvandler sig >:D~~
34-1	Su	O	
34-2	.	O	
34-3	.	O	
34-4	hun	O	
34-5	er	B-verb.stative	
34-6	sku	O	
34-7	da	O	
34-8	for	O	
34-9	nice	B-adj.all	
34-10	!	O	
34-11	specielt	O	
34-12	når	O	
34-13	hun	O	
34-14	forvandler	B-verb.change	
34-15	sig	O	
34-16	>	O	
34-17	:	O	
34-18	D	O	
34-19	~	O	
34-20	~	O	

#id=35
#text=Det der er fuldstændigt uacceptablet.
35-1	Det	O	
35-2	der	O	
35-3	er	B-verb.stative	
35-4	fuldstændigt	O	
35-5	uacceptablet	B-adj.social	
35-6	.	O	

#id=36
#text=Okay... takker...
36-1	Okay	O	
36-2	.	O	
36-3	.	O	
36-4	.	O	
36-5	takker	O	
36-6	.	O	
36-7	.	O	
36-8	.	O	

#id=37
#text=Yu-Gi-Oh!
37-1	Yu	B-noun.communication	
37-2	-	I-noun.communication	
37-3	Gi	I-noun.communication	
37-4	-	I-noun.communication	
37-5	Oh	I-noun.communication	
37-6	!	O	

#id=38
#text=Detminder mig om at jeg også har smagt riskage.. det var jeg ikke  så imponeret over :/ (man tager en masse ris varmer dem og banker dem med en hammer til de bliver en slags dej) man spiser dem med forskellige ting til.. det smagte lidt som tyggegummi uden smag :[~@007C]
38-1	Det	O	
38-2	minder	B-verb.cognition	
38-3	mig	O	
38-4	om	O	
38-5	at	O	
38-6	jeg	O	
38-7	også	O	
38-8	har	O	
38-9	smagt	B-verb.consumption	
38-10	riskage	B-noun.food	
38-11	.	O	
38-12	.	O	
38-13	det	O	
38-14	var	B-verb.stative	
38-15	jeg	O	
38-16	ikke	O	
38-17	så	O	
38-18	imponeret	B-verb.emotion	
38-19	over	O	
38-20	:	O	
38-21	/	O	
38-22	(	O	
38-23	man	O	
38-24	tager	B-verb.motion	
38-25	en	O	
38-26	masse	B-noun.quantity	
38-27	ris	B-noun.food	
38-28	varmer	B-verb.change	
38-29	dem	O	
38-30	og	O	
38-31	banker	B-verb.contact	
38-32	dem	O	
38-33	med	O	
38-34	en	O	
38-35	hammer	B-noun.artifact	
38-36	til	O	
38-37	de	O	
38-38	bliver	B-verb.stative	
38-39	en	O	
38-40	slags	B-noun.attribute	
38-41	dej	B-noun.food	
38-42	)	O	
38-43	man	O	
38-44	spiser	B-verb.consumption	
38-45	dem	O	
38-46	med	O	
38-47	forskellige	B-adj.all	
38-48	ting	B-noun.abstract	
38-49	til	O	
38-50	.	O	
38-51	.	O	
38-52	det	O	
38-53	smagte	B-verb.perception	
38-54	lidt	O	
38-55	som	O	
38-56	tyggegummi	B-noun.food	
38-57	uden	O	
38-58	smag	B-noun.attribute	
38-59	:	O	
38-60	[~@007C]	O	

#id=39
#text=Nu har jeg så fået oversat et par af siderne, og sat teksten ind i taleboblerne o.l.
39-1	Nu	O	
39-2	har	O	
39-3	jeg	O	
39-4	så	O	
39-5	fået	O	
39-6	oversat	B-verb.communication	
39-7	et	O	
39-8	par	B-noun.quantity	
39-9	af	O	
39-10	siderne	B-noun.communication	
39-11	,	O	
39-12	og	O	
39-13	sat	B-verb.act	
39-14	teksten	B-noun.communication	
39-15	ind	O	
39-16	i	O	
39-17	taleboblerne	B-noun.communication	
39-18	o	O	
39-19	.	O	
39-20	l	O	
39-21	.	O	

#id=40
#text=Hejalle sammen jeg har undersøgt priser på manga dvder i dk som selvfølig er alt for dyre nogle koster helt op til 350kr som jo ikke er til at betale Så ville høre om der ikke er en DC++ hub ftp server eller noget helt 3['@0060]man kunne downloade nogle manga film fra og andre kunne selvfølig oploade...
40-1	Hej	O	
40-2	alle	O	
40-3	sammen	O	
40-4	jeg	O	
40-5	har	O	
40-6	undersøgt	B-verb.cognition	
40-7	priser	B-noun.attribute	
40-8	på	O	
40-9	manga	B-noun.communication	
40-10	dvder	B-noun.artifact	
40-11	i	O	
40-12	dk	O	
40-13	som	O	
40-14	selvfølig	O	
40-15	er	B-verb.stative	
40-16	alt	O	
40-17	for	O	
40-18	dyre	B-adj.all	
40-19	nogle	O	
40-20	koster	B-verb.stative	
40-21	helt	O	
40-22	op	O	
40-23	til	O	
40-24	350kr	B-noun.quantity	
40-25	som	O	
40-26	jo	O	
40-27	ikke	O	
40-28	er	B-verb.stative	
40-29	til	O	
40-30	at	O	
40-31	betale	B-verb.act	
40-32	Så	O	
40-33	ville	O	
40-34	høre	B-verb.communication	
40-35	om	O	
40-36	der	O	
40-37	ikke	O	
40-38	er	B-verb.stative	
40-39	en	O	
40-40	DC++	B-noun.artifact	
40-41	hub	I-noun.artifact	
40-42	ftp	I-noun.artifact	
40-43	server	I-noun.artifact	
40-44	eller	O	
40-45	noget	O	
40-46	helt	O	
40-47	3	O	
40-48	['@0060]	O	
40-49	man	O	
40-50	kunne	O	
40-51	downloade	B-noun.possession	
40-52	nogle	O	
40-53	manga	B-noun.communication	
40-54	film	I-noun.communication	
40-55	fra	O	
40-56	og	O	
40-57	andre	O	
40-58	kunne	O	
40-59	selvfølig	O	
40-60	oploade	B-noun.possession	
40-61	.	O	
40-62	.	O	
40-63	.	O	

#id=41
#text=Hvordan har du fået Master af Oz i en starter pakke eller nogle af de små pakker eller over nettet eller noget helt andet :?: :?:
41-1	Hvordan	O	
41-2	har	O	
41-3	du	O	
41-4	fået	B-verb.possession	
41-5	Master	B-noun.person	
41-6	af	I-noun.person	
41-7	Oz	I-noun.person	
41-8	i	O	
41-9	en	O	
41-10	starter	B-noun.artifact	
41-11	pakke	I-noun.artifact	
41-12	eller	O	
41-13	nogle	O	
41-14	af	O	
41-15	de	O	
41-16	små	B-adj.phys	
41-17	pakker	B-noun.artifact	
41-18	eller	O	
41-19	over	O	
41-20	nettet	B-noun.communication	
41-21	eller	O	
41-22	noget	O	
41-23	helt	O	
41-24	andet	O	
41-25	:	O	
41-26	?	O	
41-27	:	O	
41-28	:	O	
41-29	?	O	
41-30	:	O	

#id=42
#text=Ellers prøv denne link: http://www.online-dictionary.biz/japanese/english/ Skriv det japanske ord (med vores alfabet) i feltet "Romaji", så skulle der komme en engelsk oversættelse.
42-1	Ellers	O	
42-2	prøv	B-verb.act	
42-3	denne	O	
42-4	link	B-noun.communication	
42-5	:	O	
42-6	http	O	
42-7	:	O	
42-8	/	O	
42-9	/	O	
42-10	www	O	
42-11	.	O	
42-12	online	O	
42-13	-	O	
42-14	dictionary	O	
42-15	.	O	
42-16	biz	O	
42-17	/	O	
42-18	japanese	O	
42-19	/	O	
42-20	english	O	
42-21	/	O	
42-22	Skriv	B-noun.communication	
42-23	det	O	
42-24	japanske	B-adj.social	
42-25	ord	B-noun.communication	
42-26	(	O	
42-27	med	O	
42-28	vores	O	
42-29	alfabet	B-noun.communication	
42-30	)	O	
42-31	i	O	
42-32	feltet	B-noun.shape	
42-33	"	O	
42-34	Romaji	O	
42-35	"	O	
42-36	,	O	
42-37	så	O	
42-38	skulle	O	
42-39	der	O	
42-40	komme	B-verb.phenomenon	
42-41	en	O	
42-42	engelsk	B-adj.social	
42-43	oversættelse	B-noun.communication	
42-44	.	O	

#id=43
#text=Aktivebrugere...?? hmm..... der ser da ikke ud til at være så stor aktivitet herinde for tiden... men hvad.... jeg er jo også ny.... håber da, at der kommer mere gang i det herinde... :)
43-1	Aktive	B-adj.all	
43-2	brugere	B-noun.person	
43-3	.	O	
43-4	.	O	
43-5	.	O	
43-6	?	O	
43-7	?	O	
43-8	hmm	O	
43-9	.	O	
43-10	.	O	
43-11	.	O	
43-12	.	O	
43-13	.	O	
43-14	der	O	
43-15	ser	B-verb.stative	
43-16	da	O	
43-17	ikke	O	
43-18	ud	B-verb.PARTICLE	
43-19	til	B-verb.COLL	
43-20	at	O	
43-21	være	B-verb.stative	
43-22	så	O	
43-23	stor	B-adj.all	
43-24	aktivitet	B-noun.phenomenon	
43-25	herinde	O	
43-26	for	O	
43-27	tiden	B-noun.time	
43-28	.	O	
43-29	.	O	
43-30	.	O	
43-31	men	O	
43-32	hvad	O	
43-33	.	O	
43-34	.	O	
43-35	.	O	
43-36	.	O	
43-37	jeg	O	
43-38	er	B-verb.stative	
43-39	jo	O	
43-40	også	O	
43-41	ny	B-adj.time	
43-42	.	O	
43-43	.	O	
43-44	.	O	
43-45	.	O	
43-46	håber	B-verb.emotion	
43-47	da	O	
43-48	,	O	
43-49	at	O	
43-50	der	O	
43-51	kommer	B-verb.phenomenon	
43-52	mere	O	
43-53	gang	B-verb.COLL	
43-54	i	I-verb.COLL	
43-55	det	O	
43-56	herinde	O	
43-57	.	O	
43-58	.	O	
43-59	.	O	
43-60	:	O	
43-61	)	O	

#id=44
#text=Fintnok så.
44-1	Fint	O	
44-2	nok	O	
44-3	så	O	
44-4	.	O	

#id=45
#text=Det er bare ret neder at skulle dl  dem, da jeg godt vil ha bøgerne :(
45-1	Det	O	
45-2	er	B-verb.stative	
45-3	bare	O	
45-4	ret	O	
45-5	neder	B-adj.mental	
45-6	at	O	
45-7	skulle	O	
45-8	dl	B-verb.possession	
45-9	dem	O	
45-10	,	O	
45-11	da	O	
45-12	jeg	O	
45-13	godt	O	
45-14	vil	O	
45-15	ha	B-verb.possession	
45-16	bøgerne	B-noun.communication	
45-17	:	O	
45-18	(	O	

#id=46
#text=XD
46-1	XD	O	

#id=47
#text=Jegkan heller ikke lide Kenshin animen, men mangaen er god.
47-1	Jeg	O	
47-2	kan	O	
47-3	heller	O	
47-4	ikke	O	
47-5	lide	B-verb.emotion	
47-6	Kenshin	B-noun.communication	
