 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Deres smil og glade ansigter rammer lige i hjertet.
1-1	Deres	deres	PO:#--#:--:-3np	
3-2	eksempel	eksempel	NC:siun:--:----	
3-3	må	måtte	VF:----:sa:----	
3-4	man	man	PI:#-uc:--:----	
3-5	ikke	ikke	D-:----:--:u---	
3-6	have	have	VI:----:-a:----	
3-7	den	den	PP:s-uc:--:-3n-	
3-8	på	på	D-:----:--:u---	
3-9	under	under	T-:----:--:----	
3-10	pilgrimsfærden	pilgrimsfærd	NC:sduc:--:----	
3-11	,	,	ZD	
3-12	der	der	US:----:--:----	
3-13	må	måtte	VF:----:sa:----	
3-14	ansigtet	ansigt	NC:sdun:--:----	
3-15	ikke	ikke	D-:----:--:u---	
3-16	være	være	VI:----:-a:----	
3-17	dækket	dæk	NC:sdun:--:----	
3-18	"	"	ZI	
3-19	,	,	ZD	
3-20	siger	sige	VF:----:sa:----	
3-21	Zubair	Zubair	NP:siu#:--:----	
3-22	Butt	Butt	NP:siu#:--:----	
3-23	Hussain	Hussain	NP:siu#:--:----	
3-24	.	.	ZP	

#id=4
#text= Eksempelvis kunne det medføre dødsstraf at bevæge sig rundt om natten med sortsværtet ansigt.
4-1	Eksempelvis	eksempelvis	D-:----:--:u---	
4-2	kunne	kunne	VF:----:ta:----	
4-3	det	det	PP:s-un:--:-3n-	
4-4	medføre	medføre	VI:----:-a:----	
4-5	dødsstraf	dødsstraf	NC:siuc:--:----	
4-6	at	at	UI:----:--:----	
4-7	bevæge	bevæge	VI:----:-a:----	
4-8	sig	sig	PP:#-u#:--:-3y-	
4-9	rundt	rundt	D-:----:--:u---	
4-10	om	om	T-:----:--:----	
4-11	natten	nat	NC:sduc:--:----	
4-12	med	med	D-:----:--:u---	
4-13	sortsværtet	sortsværte	VT:siu#:t-:----	
4-14	ansigt	ansigt	NC:siun:--:----	
4-15	.	.	ZP	

#id=5
#text= Ulvemor!", råbte nogle unge fyre med forventningsfulde smil smurt ud over hele ansigtet som optakt til koncerten med australske Wolfmother.
5-1	Ulvemor	Ulvemor	NP:siu#:--:----	
5-2	!	!	ZP	
5-3	"	"	ZI	
5-4	,	,	ZD	
5-5	råbte	råbe	VF:----:ta:----	
5-6	nogle	nogen	PI:p-u#:--:----	
5-7	unge	ung	AC:p#u#:--:p---	
5-8	fyre	fyr	NC:piu#:--:----	
5-9	med	med	T-:----:--:----	
5-10	forventningsfulde	forventningsfuld	AC:p#u#:--:p---	
5-11	smil	smil	NC:piu#:--:----	
5-12	smurt	smøre	VT:siu#:t-:----	
5-13	ud	ud	D-:----:--:u---	
5-14	over	over	T-:----:--:----	
5-15	hele	hel	AC:sdu#:--:p---	
5-16	ansigtet	ansigt	NC:sdun:--:----	
5-17	som	som	US:----:--:----	
5-18	optakt	optakt	NC:siuc:--:----	
5-19	til	til	T-:----:--:----	
5-20	koncerten	koncert	NC:sduc:--:----	
5-21	med	med	T-:----:--:----	
5-22	australske	australsk	AC:sdu#:--:p---	
5-23	Wolfmother	Wolfmother	NP:siu#:--:----	
5-24	.	.	ZP	

#id=6
#text="En mandlig stemme sagde, at de ville kidnappe mig og hælde syre på mit ansigt.
6-1	"	"	ZI	
6-2	En	en	PI:s-uc:--:----	
6-3	mandlig	mandlig	AC:siuc:--:p---	
6-4	stemme	stemme	NC:siuc:--:----	
6-5	sagde	sige	VF:----:ta:----	
6-6	,	,	ZD	
6-7	at	at	CS:----:--:----	
6-8	de	de	PP:p-n#:--:-3n-	
6-9	ville	ville	VF:----:ta:----	
6-10	kidnappe	kidnappe	VI:----:-a:----	
6-11	mig	jeg	PP:s-uc:--:-1#-	
6-12	og	og	CC:----:--:----	
6-13	hælde	hælde	VI:----:-a:----	
6-14	syre	syre	NC:siuc:--:----	
6-15	på	på	T-:----:--:----	
6-16	mit	min	PO:s--n:--:-1ns	
6-17	ansigt	ansigt	NC:siun:--:----	
6-18	.	.	ZP	

#id=7
#text=Da hun tog den, sagde en mandsstemme, at han ville hælde syre ud over hendes ansigt, hvis hun ikke opgav sin karriere og blev hjemme.
7-1	Da	da	CS:----:--:----	
7-2	hun	hun	PP:s-nc:--:-3n-	
7-3	tog	tage	VF:----:ta:----	
7-4	den	den	PP:s-uc:--:-3n-	
7-5	,	,	ZD	
7-6	sagde	sige	VF:----:ta:----	
7-7	en	en	PI:s-uc:--:----	
7-8	mandsstemme	mandsstemme	NC:siuc:--:----	
7-9	,	,	ZD	
7-10	at	at	CS:----:--:----	
7-11	han	han	PP:s-nc:--:-3n-	
7-12	ville	ville	VF:----:ta:----	
7-13	hælde	hælde	VI:----:-a:----	
7-14	syre	syre	VI:----:-a:----	
7-15	ud	ud	D-:----:--:u---	
7-16	over	over	T-:----:--:----	
7-17	hendes	hendes	PO:#--#:--:-3ns	
7-18	ansigt	ansigt	NC:siun:--:----	
7-19	,	,	ZD	
7-20	hvis	hvis	CS:----:--:----	
7-21	hun	hun	PP:s-nc:--:-3n-	
7-22	ikke	ikke	D-:----:--:u---	
7-23	opgav	opgive	VF:----:ta:----	
7-24	sin	sin	PO:s--c:--:-3ys	
7-25	karriere	karriere	NC:siuc:--:----	
7-26	og	og	CC:----:--:----	
7-27	blev	blive	VF:----:ta:----	
7-28	hjemme	hjemme	D-:----:--:u---	
7-29	.	.	ZP	

#id=8
#text= Hendes træner  lignede en lille tordensky, forbilledet Sergej Bubka skar ansigt i VIP-logen, og nervepresset steg.
8-1	Hendes	hendes	PO:#--#:--:-3ns	
8-2	træner	træner	NC:siuc:--:----	
8-3	lignede	ligne	VF:----:ta:----	
8-4	en	en	PI:s-uc:--:----	
8-5	lille	lille	AC:s§u§:--:p---	
8-6	tordensky	tordensky	NC:siuc:--:----	
8-7	,	,	ZD	
8-8	forbilledet	forbillede	NC:sdun:--:----	
8-9	Sergej	Sergej	NP:siu#:--:----	
8-10	Bubka	Bubka	NP:siu#:--:----	
8-11	skar	skære	VF:----:ta:----	
8-12	ansigt	ansigt	NC:siun:--:----	
8-13	i	i	T-:----:--:----	
8-14	VIP	VIP	NP:siu#:--:----	
8-15	-	-	ZH	
8-16	logen	loge	NC:sduc:--:----	
8-17	,	,	ZD	
8-18	og	og	CC:----:--:----	
8-19	nervepresset	nervepres	NC:sdun:--:----	
8-20	steg	stige	VF:----:ta:----	
8-21	.	.	ZP	

#id=9
#text= Fra at være forbundet med den der 1970' er-retorik er støttekoncerterne blevet cool igen - som musiker taber man ikke ansigt ved at deltage, men får tværtimod noget troværdighed", siger Henrik Marstal, der bestemt mener, at støttekoncerter kan nytte.
9-1	Fra	fra	T-:----:--:----	
9-2	at	at	UI:----:--:----	
9-3	være	være	VI:----:-a:----	
9-4	forbundet	forbinde	VT:siu#:t-:----	
9-5	med	med	T-:----:--:----	
9-6	den	den	PP:s-uc:--:-3n-	
9-7	der	der	US:----:--:----	
9-8	1970	1970	LC:--u-:--:----	
9-9	'	'	ZA	
9-10	er	være	VF:----:sa:----	
9-11	-	-	NC:piu#:--:----	
9-12	retorik	retorik	NC:siuc:--:----	
9-13	er	være	VF:----:sa:----	
9-14	støttekoncerterne	støttekoncert	NC:pdu#:--:----	
9-15	blevet	blive	VT:siu#:t-:----	
9-16	cool	cool	AD:----:--:p---	
9-17	igen	igen	D-:----:--:u---	
9-18	-	-	NC:piu#:--:----	
9-19	som	som	US:----:--:----	
9-20	musiker	musiker	NC:siuc:--:----	
9-21	taber	tabe	VF:----:sa:----	
9-22	man	man	PI:#-uc:--:----	
9-23	ikke	ikke	D-:----:--:u---	
9-24	ansigt	ansigt	NC:siun:--:----	
9-25	ved	ved	T-:----:--:----	
9-26	at	at	UI:----:--:----	
9-27	deltage	deltage	VI:----:-a:----	
9-28	,	,	ZD	
9-29	men	men	CC:----:--:----	
9-30	får	få	VF:----:sa:----	
9-31	tværtimod	tværtimod	D-:----:--:u---	
9-32	noget	nogen	PI:s-un:--:----	
9-33	troværdighed	troværdighed	NC:siuc:--:----	
9-34	"	"	ZI	
9-35	,	,	ZD	
9-36	siger	sige	VF:----:sa:----	
9-37	Henrik	rik	NP:siu#:--:----	
9-38	Marstal	Marstal	NW:----:--:----	
9-39	,	,	ZD	
9-40	der	der	US:----:--:----	
9-41	bestemt	bestemt	AC:siu§:--:p---	
9-42	mener	mener	NC:siuc:--:----	
9-43	,	,	ZD	
9-44	at	at	CS:----:--:----	
9-45	støttekoncerter	støttekoncert	NC:piu#:--:----	
9-46	kan	kunne	VF:----:sa:----	
9-47	nytte	nytte	NC:siuc:--:----	
9-48	.	.	ZP	

#id=10
#text= Kun en mængde smilerynker i ansigtet afslører hans alder. 40 år.
10-1	Kun	kun	D-:----:--:u---	
10-2	en	en	:s-uc:--:----	
10-3	mængde	mængde	NC:siuc:--:----	
10-4	smilerynker	smilerynke	NC:piu#:--:----	
10-5	i	i	T-:----:--:----	
10-6	ansigtet	ansigt	NC:sdun:--:----	
10-7	afslører	afsløre	VF:----:sa:----	
10-8	hans	hans	PO:#--#:--:-3ns	
10-9	alder	alder	NC:siuc:--:----	
10-10	.	.	ZP	
10-11	40	40	LC:--u-:--:----	
10-12	år	år	NC:piu#:--:----	
10-13	.	.	ZP	

#id=11
#text=Prøv bare at lægge mærke til folks ansigter om morgenen: solbrændte efter en dejlig sommer, men samtidig med en særlig glød af virkelyst i øjnene er de undervejs.
11-1	Prøv	prøve	VM:----:--:----	
11-2	bare	bare	D-:----:--:u---	
11-3	at	at	UI:----:--:----	
11-4	lægge	lægge	VI:----:-a:----	
11-5	mærke	mærke	VI:----:-a:----	
11-6	til	til	T-:----:--:----	
11-7	folks	folk	NC:pig#:--:----	
11-8	ansigter	ansigt	NC:piu#:--:----	
11-9	om	om	T-:----:--:----	
11-10	morgenen	morgen	NC:sduc:--:----	
11-11	:	:	ZP	
11-12	solbrændte	solbrændt	AC:p#u#:--:p---	
11-13	efter	efter	--	
11-14	en	en	PI:s-uc:--:----	
11-15	dejlig	dejlig	AC:siuc:--:p---	
11-16	sommer	sommer	NC:siuc:--:----	
11-17	,	,	ZD	
11-18	men	men	CC:----:--:----	
11-19	samtidig	samtidig	D-:----:--:u---	
11-20	med	med	T-:----:--:----	
11-21	en	en	PI:s-uc:--:----	
11-22	særlig	særlig	AC:siuc:--:p---	
11-23	glød	glød	NC:siuc:--:----	
11-24	af	af	T-:----:--:----	
11-25	virkelyst	virkelyst	NC:siuc:--:----	
11-26	i	i	T-:----:--:----	
11-27	øjnene	øje	NC:pdu#:--:----	
11-28	er	være	VF:----:sa:----	
11-29	de	de	PP:p-n#:--:-3n-	
11-30	undervejs	undervejs	D-:----:--:u---	
11-31	.	.	ZP	

#id=12
#text= Det er det jeg vil have, når jeg er træt af mig selv, af mit ansigt i spejlet, af de ord jeg laver på skærmen, træt af den metalliske smag jeg får i munden af at iscenesætte mig selv til daglig, hvor forholdet mellem mig og mig er næsten 1:
12-1	Det	det	PP:s-un:--:-3n-	
12-2	er	være	VF:----:sa:----	
12-3	det	det	PP:s-un:--:-3n-	
12-4	jeg	jeg	PP:s-nc:--:-1n-	
12-5	vil	ville	VF:----:sa:----	
12-6	have	have	----	
12-7	,	,	ZD	
12-8	når	når	CS:----:--:----	
12-9	jeg	jeg	PP:s-nc:--:-1n-	
12-10	er	være	VF:----:sa:----	
12-11	træt	træt	AC:siu§:--:p---	
12-12	af	af	T-:----:--:----	
12-13	mig	jeg	PP:s-uc:--:-1#-	
12-14	selv	selv	PM:#-u#:--:----	
12-15	,	,	ZD	
12-16	af	af	T-:----:--:----	
12-17	mit	min	PO:s--n:--:-1ns	
12-18	ansigt	ansigt	NC:siun:--:----	
12-19	i	i	T-:----:--:----	
12-20	spejlet	spejl	NC:sdun:--:----	
12-21	,	,	ZD	
12-22	af	af	T-:----:--:----	
12-23	de	den	PM:p-u#:--:----	
12-24	ord	ord	NC:piu#:--:----	
12-25	jeg	jeg	NC:siun:--:----	
12-26	laver	lav	NC:piu#:--:----	
12-27	på	på	T-:----:--:----	
12-28	skærmen	skærm	NC:sduc:--:----	
12-29	,	,	ZD	
12-30	træt	træt	AC:siu§:--:p---	
12-31	af	af	T-:----:--:----	
12-32	den	den	PM:s-uc:--:----	
12-33	metalliske	metallisk	AC:sdu#:--:p---	
12-34	smag	smag	NC:siuc:--:----	
12-35	jeg	jeg	NC:siun:--:----	
12-36	får	få	VF:----:sa:----	
12-37	i	i	T-:----:--:----	
12-38	munden	mund	NC:sduc:--:----	
12-39	af	af	T-:----:--:----	
12-40	at	at	UI:----:--:----	
12-41	iscenesætte	iscenesætte	VI:----:-a:----	
12-42	mig	jeg	PP:s-uc:--:-1#-	
12-43	selv	selv	PM:#-u#:--:----	
12-44	til	til	T-:----:--:----	
12-45	daglig	daglig	AC:siuc:--:p---	
12-46	,	,	ZD	
12-47	hvor	hvor	D-:----:--:u---	
12-48	forholdet	forhold	NC:sdun:--:----	
12-49	mellem	mellem	T-:----:--:----	
12-50	mig	jeg	PP:s-uc:--:-1#-	
12-51	og	og	CC:----:--:----	
12-52	mig	jeg	PP:s-uc:--:-1#-	
12-53	er	være	VF:----:sa:----	
12-54	næsten	næsten	D-:----:--:u---	
12-55	1	1	LC:--u-:--:----	
12-56	:	:	ZP	

#id=13
#text=I ' Bänkpress' har den midaldrende Lindqvist ligget på bænken i et motionscenter og prøvet at løfte farens død af sig, og sin egen skilsmisse har han prøvet at løfte væk med sveden drivende fra ansigtet.
13-1	I	I	XS:----:--:----	
13-2	'	'	ZA	
13-3	Bänkpress	Bänkpress	NP:sig#:--:----	
13-4	'	'	ZA	
13-5	har	have	VF:----:sa:----	
13-6	den	den	PM:s-uc:--:----	
13-7	midaldrende	midaldrende	AC:§§u§:--:p---	
13-8	Lindqvist	Lindqvist	NP:siu#:--:----	
13-9	ligget	ligge	VT:siu#:t-:----	
13-10	på	på	T-:----:--:----	
13-11	bænken	bænk	NC:sduc:--:----	
13-12	i	i	T-:----:--:----	
13-13	et	en	PI:s-un:--:----	
13-14	motionscenter	motionscenter	NC:siun:--:----	
13-15	og	og	CC:----:--:----	
13-16	prøvet	prøve	VT:siu#:t-:----	
13-17	at	at	UI:----:--:----	
13-18	løfte	løfte	VI:----:-a:----	
13-19	farens	farens	NP:sig#:--:----	
13-20	død	død	NC:siuc:--:----	
13-21	af	af	---	
13-22	sig	sig	PP:#-u#:--:-3y-	
13-23	,	,	ZD	
13-24	og	og	CC:----:--:----	
13-25	sin	sin	PO:s--c:--:-3ys	
13-26	egen	egen	AC:s§uc:--:p---	
13-27	skilsmisse	skilsmisse	NC:siuc:--:----	
13-28	har	have	VF:----:sa:----	
13-29	han	han	PP:s-nc:--:-3n-	
13-30	prøvet	prøve	VT:siu#:t-:----	
13-31	at	at	UI:----:--:----	
13-32	løfte	løfte	VI:----:-a:----	
13-33	væk	væk	D-:----:--:u---	
13-34	med	med	T-:----:--:----	
13-35	sveden	sved	NC:sduc:--:----	
13-36	drivende	drivende	D-:----:--:u---	
13-37	fra	fra	T-:----:--:----	
13-38	ansigtet	ansigt	NC:sdun:--:----	
13-39	.	.	ZP	

#id=14
#text=JEG SER HAM sidde på bagerste række, i den presbyterianske kirke i Møllergata, med den marineblå sømandsjakke på skødet, blikket skråt ned mod bænken foran og en let rødme i  ansigtet, og det ser mærkeligt ud, det indrømmer jeg, for han er jo ikke engang kristen.
14-1	JEG	jeg	PP:s-nc:--:-1n-	
14-2	SER	se	VF:----:sa:----	
14-3	HAM	han	PP:s-uc:--:-3n-	
14-4	sidde	sidde	VI:----:-a:----	
14-5	på	på	T-:----:--:----	
14-6	bagerste	bagerste	AC:sdu#:--:p---	
14-7	række	række	NC:siuc:--:----	
14-8	,	,	ZD	
14-9	i	i	T-:----:--:----	
14-10	den	den	PM:s-uc:--:----	
14-11	presbyterianske	presbyteriansk	AC:sdu#:--:p---	
14-12	kirke	kirke	NC:siuc:--:----	
14-13	i	i	T-:----:--:----	
14-14	Møllergata	Møllergata	NP:siu#:--:----	
14-15	,	,	ZD	
14-16	med	med	T-:----:--:----	
14-17	den	den	PM:s-uc:--:----	
14-18	marineblå	marineblå	AC:sdu#:--:p---	
14-19	sømandsjakke	sømandsjakke	NC:siuc:--:----	
14-20	på	på	T-:----:--:----	
14-21	skødet	skød	NC:sdun:--:----	
14-22	,	,	ZD	
14-23	blikket	blik	NC:sdun:--:----	
14-24	skråt	skrå	AD:----:--:p---	
14-25	ned	ned	D-:----:--:u---	
14-26	mod	mod	T-:----:--:----	
14-27	bænken	bænk	NC:sduc:--:----	
14-28	foran	foran	T-:----:--:----	
14-29	og	og	CC:----:--:----	
14-30	en	en	PI:s-uc:--:----	
14-31	let	let	AC:siu§:--:p---	
14-32	rødme	rødme	NC:siuc:--:----	
14-33	i	i	T-:----:--:----	
14-34	ansigtet	ansigt	NC:sdun:--:----	
14-35	,	,	ZD	
14-36	og	og	CC:----:--:----	
14-37	det	t	PP:s-un:--:-3n-	
14-38	ser	se	VF:----:sa:----	
14-39	mærkeligt	mærkelig	AD:----:--:p---	
14-40	ud	ud	D-:----:--:u---	
14-41	,	,	ZD	
14-42	det	det	PP:s-un:--:-3n-	
14-43	indrømmer	indrømme	VF:----:sa:----	
14-44	jeg	jeg	PP:s-nc:--:-1n-	
14-45	,	,	ZD	
14-46	for	for	CC:----:--:----	
14-47	han	han	PP:s-nc:--:-3n-	
14-48	er	være	VF:----:sa:----	
14-49	jo	jo	D-:----:--:u---	
14-50	ikke	ikke	D-:----:--:u---	
14-51	engang	engang	D-:----:--:u---	
14-52	kristen	kristen	AC:siuc:--:p---	
14-53	.	.	ZP	

#id=15
#text=Gråd og angst stod efter et vidnesbyrd fra kirkens præst malet i de afviste irakeres ansigter, der på et tidspunkt havde forsamlet sig under korset i kirken.
15-1	Gråd	gråd	NC:siuc:--:----	
15-2	og	og	CC:----:--:----	
15-3	angst	angst	AC:siu§:--:p---	
15-4	stod	stod	NC:siun:--:----	
15-5	efter	efter	T-:----:--:----	
15-6	et	en	PI:s-un:--:----	
15-7	vidnesbyrd	vidnesbyrd	NC:siun:--:----	
15-8	fra	fra	T-:----:--:----	
15-9	kirkens	kirke	NC:sdgc:--:----	
15-10	præst	præst	NC:siuc:--:----	
15-11	malet	male	VT:siu#:t-:----	
15-12	i	i	T-:----:--:----	
15-13	de	den	PM:p-u#:--:----	
15-14	afviste	afvise	VP:p#u#:t-:----	
15-15	irakeres	iraker	NC:pig#:--:----	
15-16	ansigter	ansigt	NC:piu#:--:----	
15-17	,	,	ZD	
15-18	der	der	US:----:--:----	
15-19	på	på	T-:----:--:----	
15-20	et	en	PI:s-un:--:----	
15-21	tidspunkt	tidspunkt	NC:siun:--:----	
15-22	havde	have	VF:----:ta:----	
15-23	forsamlet	forsamle	VT:siu#:t-:----	
15-24	sig	sig	PP:#-u#:--:-3y-	
15-25	under	under	T-:----:--:----	
15-26	korset	kors	NP:siu#:--:----	
15-27	i	i	T-:----:--:----	
15-28	kirken	kirke	NC:sduc:--:----	
15-29	.	.	ZP	

#id=16
#text=Midt ude på gaden ligger en forulykket motorcyklist med sit blodige ansigt nede i asfalten og forsøger forgæves at rejse sig op.
16-1	Midt	midt	D-:----:--:u---	
16-2	ude	ude	D-:----:--:u---	
16-3	på	på	T-:----:--:----	
16-4	gaden	gade	NC:sduc:--:----	
16-5	ligger	ligge	VF:----:sa:----	
16-6	en	en	PI:s-uc:--:----	
16-7	forulykket	forulykke	VT:siu#:t-:----	
16-8	motorcyklist	motorcyklist	NC:siuc:--:----	
16-9	med	med	T-:----:--:----	
16-10	sit	sin	PO:s--n:--:-3ys	
16-11	blodige	blodig	AC:sdu#:--:p---	
16-12	ansigt	ansigt	NC:siun:--:----	
16-13	nede	nede	D-:----:--:u---	
16-14	i	i	T-:----:--:----	
16-15	asfalten	asfalt	NC:sduc:--:----	
16-16	og	og	CC:----:--:----	
16-17	forsøger	forsøge	VF:----:sa:----	
16-18	forgæves	forgæves	AD:----:--:p---	
16-19	at	at	UI:----:--:----	
16-20	rejse	rejse	VI:----:-a:----	
16-21	sig	sig	PP:#-u#:--:-3y-	
16-22	op	op	D-:----:--:u---	
16-23	.	.	ZP	

#id=17
#text= Nænsomt glider fingre over ansigtet på én, man får dulgte ting hvisket i øret, bliver ført hid og did.
17-1	Nænsomt	nænsom	AD:----:--:p---	
17-2	glider	glide	VF:----:sa:----	
17-3	fingre	finger	NC:piu#:--:----	
17-4	over	over	T-:----:--:----	
17-5	ansigtet	ansigt	NC:sdun:--:----	
17-6	på	på	T-:----:--:----	
17-7	én	en	PI:s-uc:--:----	
17-8	,	,	ZD	
17-9	man	man	PI:#-uc:--:----	
17-10	får	få	VF:----:sa:----	
17-11	dulgte	dølge	VP:p#u#:t-:----	
17-12	ting	ting	NC:piu#:--:----	
17-13	hvisket	hviske	VT:siu#:t-:----	
17-14	i	i	T-:----:--:----	
17-15	øret	øre	NC:sdun:--:----	
17-16	,	,	ZD	
17-17	bliver	blive	VF:----:sa:----	
17-18	ført	føre	VT:siu#:t-:----	
17-19	hid	hid	D-:----:--:u---	
17-20	og	og	CC:----:--:----	
17-21	did	did	D-:----:--:u---	
17-22	.	.	ZP	

#id=18
#text="Kom nu, kom nu, kom nu", skreg den livlige træner utallige gange, mens ansigtet antog en stadig mørkere rød farve.
18-1	"	"	ZI	
18-2	Kom	komme	VF:----:ta:----	
18-3	nu	nu	D-:----:--:u---	
18-4	,	,	ZD	
18-5	kom	komme	VF:----:ta:----	
18-6	nu	nu	D-:----:--:u---	
18-7	,	,	ZD	
18-8	kom	komme	VF:----:ta:----	
18-9	nu	nu	D-:----:--:u---	
18-10	"	"	ZI	
18-11	,	,	ZD	
18-12	skreg	skrige	VF:----:ta:----	
18-13	den	den	PM:s-uc:--:----	
18-14	livlige	livlig	AC:sdu#:--:p---	
18-15	træner	træne	VF:----:sa:----	
18-16	utallige	utallig	AC:p#u#:--:p---	
18-17	gange	gang	NC:piu#:--:----	
18-18	,	,	ZD	
18-19	mens	mens	CS:----:--:----	
18-20	ansigtet	ansigt	NC:sdun:--:----	
18-21	antog	antage	VF:----:ta:----	
18-22	en	en	PI:s-uc:--:----	
18-23	stadig	stadig	D-:----:--:u---	
18-24	mørkere	mørk	AD:----:--:c---	
18-25	rød	rød	AC:siuc:--:p---	
18-26	farve	farve	NC:siuc:--:----	
18-27	.	.	ZP	

#id=19
#text=Fangerne ydmyges fra første sekund ved nøgenhed, hånlig deklassering, raseriudbrud, spark og slag, især i ansigtet.
19-1	Fangerne	fange	NC:pdu#:--:----	
19-2	ydmyges	ydmyge	VF:----:sp:----	
19-3	fra	fra	T-:----:--:----	
19-4	første	første	AC:§§u§:--:p---	
19-5	sekund	sekund	NC:siun:--:----	
19-6	ved	ved	T-:----:--:----	
19-7	nøgenhed	nøgenhed	NC:siuc:--:----	
19-8	,	,	ZD	
19-9	hånlig	hånlig	AC:siuc:--:p---	
19-10	deklassering	deklassering	NC:siuc:--:----	
19-11	,	,	ZD	
19-12	raseriudbrud	raseriudbrud	NC:siun:--:----	
19-13	,	,	ZD	
19-14	spark	spark	NC:siun:--:----	
19-15	og	og	CC:----:--:----	
19-16	slag	slag	NC:siun:--:----	
19-17	,	,	ZD	
19-18	især	især	D-:----:--:u---	
19-19	i	i	T-:----:--:----	
19-20	ansigtet	ansigt	NC:sdun:--:----	
19-21	.	.	ZP	

#id=20
#text= Ansigter, der stråler om kap med projektørerne, og kinder, der er våde af glædestårer.
20-1	Ansigter	ansigt	NC:piu#:--:----	
20-2	,	,	ZD	
20-3	der	der	US:----:--:----	
20-4	stråler	stråle	VF:----:sa:----	
20-5	om	om	T-:----:--:----	
20-6	kap	kap	NC:siun:--:----	
20-7	med	med	T-:----:--:----	
20-8	projektørerne	projektør	NC:pdu#:--:----	
20-9	,	,	ZD	
20-10	og	og	CC:----:--:----	
20-11	kinder	kind	NC:piu#:--:----	
20-12	,	,	ZD	
20-13	der	der	US:----:--:----	
20-14	er	være	VF:----:sa:----	
20-15	våde	våde	NC:siuc:--:----	
20-16	af	af	T-:----:--:----	
20-17	glædestårer	glædeståre	NC:piu#:--:----	
20-18	.	.	ZP	

#id=21
#text=Så mange betagede ansigter lyver ikke.
21-1	Så	så	D-:----:--:u---	
21-2	mange	mangen	AC:p#u#:--:p---	
21-3	betagede	betagede	VP:p#u#:t-:----	
21-4	ansigter	ansigt	NC:piu#:--:----	
21-5	lyver	lyve	VF:----:sa:----	
21-6	ikke	ikke	D-:----:--:u---	
21-7	.	.	ZP	

#id=22
#text= Iført vesir lader han arrige væsner spy gift i sit ansigt og demonstrerer på andre måder naturens fantasifulde indretninger.
22-1	Iført	iføre	VT:siu#:t-:----	
22-2	vesir	vesir	NC:siuc:--:----	
22-3	lader	lade	VF:----:sa:----	
22-4	han	han	PP:s-nc:--:-3n-	
22-5	arrige	arrig	AC:p#u#:--:p---	
22-6	væsner	væsner	NC:piu#:--:----	
22-7	spy	spy	VI:----:-a:----	
22-8	gift	gift	AC:siu§:--:p---	
22-9	i	i	T-:----:--:----	
22-10	sit	sin	PO:s--n:--:-3ys	
22-11	ansigt	ansigt	NC:siun:--:----	
22-12	og	og	CC:----:--:----	
22-13	demonstrerer	demonstrere	VF:----:sa:----	
22-14	på	på	T-:----:--:----	
22-15	andre	anden	PI:p-u#:--:----	
22-16	måder	måder	XY:----:--:----	
22-17	naturens	natur	NC:sdgc:--:----	
22-18	fantasifulde	fantasifuld	AC:p#u#:--:p---	
22-19	indretninger	indretning	NC:piu#:--:----	
